Can I Register to Vote?,Statute,Name,Description
YES with Additional Evaluation,18.2-473.2(C),Covering or damaging a security camera in jail to hide felony,"Security camera covered, made inoperable , etc. , hide felony"
YES with Additional Evaluation,18.2-477,Post-conviction escape by force,Escape by force or violence from jail
YES with Additional Evaluation,18.2-477.2,Conspiracy to violate §53.1-203 by person committed to DJJ and confined in juvenile facility,Juvenile prisoner -conspire to commit act found in §53.1-203
YES with Additional Evaluation,18.2-478,Preconviction escape from custody by force,"Not convicted, escape from custody by force or violence"
YES with Additional Evaluation,18.2-479(B),Escape without force,"Convicted or not- felony , escape w/out force, violence, fire"
YES with Additional Evaluation,18.2-54.1,Poison or attempt to poison,"Poison or attempt to poison food, drugs, water, drinks with intent injure or kill"
YES with Additional Evaluation,18.2-54.2,Adulteration with intent to injure or kill,"Adulterates any food, drink, prescription or over the counter medicine, cosmetic or other substance with the intent to kill or injure any individual who ingests, inhales or uses such substance"
YES with Additional Evaluation,18.2-60.4,Assault w/ serious injury,Assault w/ serious injury to person with protective order
YES with Additional Evaluation,18.2-67.2,Object sexual penetration,Object sexual penetration -Type not clear from record
YES with Additional Evaluation,18.2-67.2(1),Object sexual penetration,Inanimate object sexual penetration victim under age 13
YES with Additional Evaluation,18.2-67.2(2),Object sexual penetration,"Inanimate object sexual penetration by force, etc."
YES with Additional Evaluation,18.2-67.2(A),Object sexual penetration,"Object sexual penetration of spouse by force, etc."
YES with Additional Evaluation,"18.2-67.2(A,1)",Object sexual penetration,"Object sexual penetration victim <age 13, indicated adult"
YES with Additional Evaluation,"18.2-67.2(A,1)",Object sexual penetration,Object penetration victim
YES with Additional Evaluation,"18.2-67.2(A,1)",Object sexual penetration,Object sexual penetration victim under age 13
YES with Additional Evaluation,"18.2-67.2(A,2)",Object sexual penetration,"Object sexual penetration by force, threat, etc."
YES with Additional Evaluation,18.2-77,Arson,Arson of building or dwelling place during the day
YES with Additional Evaluation,18.2-77,Arson,Arson of unoccupied building or dwelling place at night
YES with Additional Evaluation,18.2-77,Arson,Arson of occupied dwelling place at night
YES with Additional Evaluation,"18.2-77(A,i)",Arson,Arson of occupied dwelling place or church
YES with Additional Evaluation,"18.2-77(A,ii)",Arson,Aid or procure burning of occupied dwelling or church
YES with Additional Evaluation,18.2-77(B),Arson,Arson of unoccupied dwelling place or church
YES with Additional Evaluation,24.2-1009,"Stealing or tampering with ballot box, equipment, software","Stealing or tampering with ballot box, equipment, software"
YES with Additional Evaluation,40.1-103,"Endangerment, cruelty or injuries to children","Endangerment, cruelty or injuries to children"
YES with Additional Evaluation,46.2-105.2(A),Obtain/possess documents from DMV when not entitled,Obtain/possess documents from DMV when not entitled
YES with Additional Evaluation,46.2-817,"Disregard police command to stop, bodily injury results","Disregard police command to stop, bodily injury results"
YES with Additional Evaluation,46.2-817(C),Law enforcement officer killed as result of pursuit,Law- enforcement officer killed as result of pursuit
YES with Additional Evaluation,"46.2-865.1(A,1)",Serious bodily injury caused by racing /exhibition driving,Serious bodily injury caused by racing /exhibition driving
YES with Additional Evaluation,46.2-894,Hit and run- victim killed or injured,Hit and run-driver failed to stop/report/ etc. (vic injured)
YES with Additional Evaluation,52-48,Disseminate criminal / terrorism intelligence resulting in death/ injury,Disseminate criminal / terrorism intelligence -death/ injury
YES with Additional Evaluation,53.1-131,"Jail prisoner in work/ education program, leaves Commonwealth","Jail prisoner in work/ education program, eaves commonwealth"
YES with Additional Evaluation,53.1-203(1),Escape from a correctional facility,Escape from a correctional facility
YES with Additional Evaluation,53.1-213,Escape while in custody on detainer,Escape while in custody on detainer
YES with Additional Evaluation,53.1-60,"Escape from work or education area, vehicle etc.","Escape from work or education area, vehicle etc."
YES with Additional Evaluation,54.1-2989,"Conceal etc. , do not resuscitate order-death hastened","Conceal etc. , do not resuscitate order-death hastened"
YES with Additional Evaluation,54.1-2989,Falsify etc. revocation do not resuscitate -death hastened,Falsify do not resuscitate order-death hastened
YES with Additional Evaluation,54.1-2989,Conceal revocation do not resuscitate order-death hastened,Conceal revocation do not resuscitate order-death hastened
